id	objectName	roomName	taskName	frequency	workType	description	objectId	roomId
"cmgz2oxww002pvy5cnbup0iqp"	"ООО «Нектар»"	"Зона №4 (1700м²)"	"Уборка снега и льда в зимний период"	"AS_NEEDED"	"CLEANING"	"По мере необходимости со сдвиганием на место, предоставляемое Заказчиком"	"cmgyu2o5d001hvyjo4rzz3sud"	"cmgz2otu1001dvy5cxvasx5ep"
"cmgz2oplr0005vy5cx5l8ggd9"	"ООО «Нектар»"	"Зона №4 (1700м²)"	"Уборка снега и льда в зимний период"	"AS_NEEDED"	"CLEANING"	"По мере необходимости. Со сдвиганием на место, предоставляемое Заказчиком. Вывоз снега с территории осуществляется силами Заказчика."	"cmgyu2o5d001hvyjo4rzz3sud"	"cmgz2otu1001dvy5cxvasx5ep"
"cmgz2ouut001pvy5c9oyo6yti"	"ООО «Нектар»"	"Внутренние помещения"	"Уборка снега и льда в зимний период"	"AS_NEEDED"	"CLEANING"	"По мере необходимости со сдвиганием на место, предоставляемое Заказчиком"	"cmgyu2o5d001hvyjo4rzz3sud"	"cmgz2oylb002xvy5cf1f3r0r1"
"cmgz2ouij001lvy5cl7mi0oyg"	"ООО «Нектар»"	"Зона №2 (650м²)"	"Уборка урн и замена мусорных пакетов"	"AS_NEEDED"	"CLEANING"	"По мере необходимости (но не более 2х раз в день). Пакеты предоставляет Заказчик"	"cmgyu2o5d001hvyjo4rzz3sud"	"cmgz2oqg9000dvy5cdgv61i19"
"cmgz2oskt0011vy5cr9lj52ui"	"ООО «Нектар»"	"Зона №3 (1700м²)"	"Уборка урн и замена мусорных пакетов"	"AS_NEEDED"	"CLEANING"	"По мере необходимости (но не более 2х раз в день). Пакеты предоставляет Заказчик"	"cmgyu2o5d001hvyjo4rzz3sud"	"cmgz2orw8000tvy5cc02opl6g"
"cmgz2ow7p0025vy5cmqcwn1uf"	"ООО «Нектар»"	"Зона №5 (1700м²)"	"Уборка урн и замена мусорных пакетов"	"AS_NEEDED"	"CLEANING"	"По мере необходимости (но не более 2х раз в день). Пакеты предоставляет Заказчик"	"cmgyu2o5d001hvyjo4rzz3sud"	"cmgz2ovj8001xvy5cwkfayuul"
"cmgz2ordx000nvy5c5mtz5bwz"	"ООО «Нектар»"	"Зона №1 (7000м²)"	"Уборка урн и замена пакетов"	"AS_NEEDED"	"CLEANING"	"По мере необходимости (но не более 2х раз в день). Пакеты предоставляет Заказчик"	"cmgyu2o5d001hvyjo4rzz3sud"	"cmgz2mrnm0001vyc4lfyjc9ne"
"cmgza7qor000nvyxkvxd9derv"	"ООО «НЛ Континент»"	"Склад и конференц-зал"	"Генеральная мойка столов и стульев в конференц-зале"	"Ежемесячно"	"CLEANING"	"Генеральная мойка и дезинфекция столов и стульев в конференц-зале 1 раз в месяц"	"cmgza7p7j0001vyxknr9n9q49"	"cmgza7qfe000hvyxkvwmqpd8y"
"cmgza7q2o000bvyxkch39lt0o"	"ООО «НЛ Континент»"	"Торговый зал"	"Мойка пола торгового зала"	"Ежедневно"	"CLEANING"	"Ежедневная влажная уборка пола торгового зала с использованием профессиональных моющих средств"	"cmgza7p7j0001vyxknr9n9q49"	"cmgza7pwg0009vyxknsxrlf9k"
"cmgza7qln000lvyxkmdcsnp1d"	"ООО «НЛ Континент»"	"Торговый зал"	"Протирка столов в конференц-зале"	"Еженедельно"	"CLEANING"	"Влажная протирка столов в конференц-зале 2 раза в неделю"	"cmgza7p7j0001vyxknr9n9q49"	"cmgza7pwg0009vyxknsxrlf9k"
